,MPIESM12,GISSE2R,IPSLCM5A,CCSM3,HadGEM2ES,CESM104,ECHAM5MPIOM,FAMOUS,CNRMCM61,HadCM3L,MPIESM11
0,1.3604431,1.1998291,1.2759094,2.276764,1.2012329,1.1808167,0.7807312,1.5066223,1.2411499,1.6890564,0.98464966
1,1.9876709,1.8600464,1.7745361,2.5610352,1.8187866,1.5986938,1.8778381,2.4413757,1.9242859,2.1784668,1.62854
2,2.465454,2.0604553,2.0361938,2.7290344,2.2963867,1.9798279,2.4204102,3.1065063,2.5238037,2.5152283,2.2269897
3,2.7262268,2.1720886,2.3908386,2.6387024,2.5748596,2.1975098,2.4969788,3.6689453,2.9654236,2.8526917,2.487976
4,2.841034,2.4145813,2.7421265,2.7462769,2.8563232,2.426361,2.6490479,4.191986,3.296051,3.2714844,2.9410095
5,3.0484009,2.5551147,2.7101746,2.7836304,3.06781,2.7182922,3.245636,4.623993,3.504303,3.1564026,2.928772
6,2.988037,2.6027222,3.2548828,2.8661804,3.4162292,2.8092957,3.2131958,4.800415,3.5304565,3.103302,3.05307
7,3.1532593,2.5829773,3.173584,2.8265991,3.5382385,2.8478088,3.398468,4.9604187,3.7616882,3.064972,3.1264648
8,3.2129822,2.6235352,3.1883545,2.9188538,3.5408325,3.0578003,3.5753174,5.247772,3.9352417,3.1669922,3.235321
9,3.334961,2.5622864,3.4092407,3.0253906,3.7875671,3.0970154,3.666748,5.513397,3.8979187,3.540863,3.290802
10,3.515503,2.587799,3.546875,2.961029,3.8885193,3.260437,3.9486694,5.6665344,4.0996704,3.6533203,3.5233154
11,3.6047974,2.5926514,3.5706177,2.963379,4.116791,3.3157654,3.8364258,5.8657227,4.253479,3.57193,3.5691223
12,3.704956,2.541748,3.7207031,3.049408,4.1791077,3.3247986,4.1593018,5.8426514,4.3473206,3.6666565,3.5228882
13,3.63443,2.5787659,3.7506714,2.9710693,4.3881836,3.4521484,4.2762756,6.1357727,4.430725,3.7260132,3.526947
14,3.7028198,2.5975647,3.8614502,3.0730896,4.478546,3.390442,4.625244,6.2474976,4.1638794,3.8413086,3.566162
15,3.6020813,2.6333008,3.8110657,3.0627747,4.6522217,3.5118713,4.5030823,6.4179993,4.392395,3.8348083,3.7416687
16,3.5065002,2.6651,3.7587585,3.2266846,4.7268677,3.513153,4.671753,6.5499268,4.823761,3.8709106,3.691101
17,3.5610046,2.5787048,3.9258423,3.1397705,4.6146545,3.5993652,4.665619,6.61438,4.56308,4.016876,3.7309265
18,3.611969,2.6233826,4.1522827,3.0648804,4.719116,3.6325989,4.8213806,6.7737427,4.646515,4.094879,3.8470764
19,3.6908875,2.7733765,4.1626587,3.214569,4.809845,3.6051025,4.7999573,6.8385315,4.864929,4.141754,4.0062866
20,3.9031067,2.696106,4.2392273,3.2485046,4.9175415,3.503296,4.8446655,6.8035583,4.9401855,3.9869995,3.9985046
21,3.960846,2.6611938,4.031006,3.199829,4.915283,3.6730347,5.205414,6.8792114,4.9509277,4.042328,4.095276
22,3.9767456,2.7464905,4.0672607,3.3631287,4.96167,3.660736,5.0235596,7.0404053,4.981415,4.2064514,4.0487976
23,3.817047,2.7828064,4.315979,3.3726196,5.027191,3.7227173,5.349762,7.282715,5.1837463,3.9715881,3.8874817
24,3.8228455,2.7564392,4.23053,3.4507751,5.037964,3.8547363,5.2242126,7.417145,5.248169,4.0444336,3.9283142
25,3.9332275,2.740448,4.319519,3.5342712,4.9729614,3.8124695,4.7946777,7.4908447,5.1383667,4.128174,3.9614258
26,4.0231323,2.794159,4.5299683,3.4201355,5.04364,3.772461,5.374695,7.752838,5.0260925,4.181732,4.0411987
27,4.0872498,2.7417908,4.5131226,3.3694458,5.092621,3.646637,5.102356,7.7578735,5.1559753,4.2091064,4.0841064
28,4.15152,2.9133606,4.4929504,3.3276672,5.2239075,3.7125854,5.427124,7.8334656,5.309021,4.247589,4.177887
29,4.2573853,2.872406,4.5365295,3.3511963,5.2021484,3.8040466,5.5113525,7.831848,5.2867126,4.097992,4.202301
30,4.263214,2.8241882,4.4535522,3.3391724,5.232025,3.8653564,5.414154,7.8815613,5.3090515,4.152588,4.213684
31,4.177246,2.8747559,4.727173,3.4599915,5.339447,3.8793335,5.5652466,8.043549,5.107422,4.2719727,4.131714
32,4.0361633,2.8454285,4.6414185,3.4900513,5.296417,3.6886292,5.5468445,8.128082,5.341095,4.3442383,4.253723
33,4.2644653,2.7510986,4.8256226,3.3826904,5.2376404,3.7874756,5.7009277,8.175751,5.4269714,4.1149597,4.3564453
34,4.2648926,2.7579956,4.9454346,3.2947388,5.221344,3.801422,5.952301,8.269684,5.2731934,4.21817,4.184967
35,4.1355896,2.794464,4.7048035,3.5136719,5.358429,3.8282776,5.8059998,8.407074,5.6210938,4.409088,4.30838
36,4.091614,2.7601929,4.7650146,3.6045227,5.3419495,3.7032776,5.514099,8.508118,5.3998413,4.388489,4.13974
37,4.0378723,2.804779,4.9270325,3.6531677,5.249054,3.777069,5.794403,8.446075,5.5802,4.1430664,4.091461
38,4.1427307,2.7394714,4.7268066,3.5609741,5.343384,3.8216858,5.6183777,8.56134,5.628845,4.3085327,4.3211975
39,4.241516,2.791809,4.667572,3.4646606,5.4195557,3.9883118,5.6593933,8.421631,5.5281067,4.265991,4.4157715
